data,symbol,open,close,high,low,volume
1594771200,ADA_USDT,0.13229,0.130547,0.132655,0.12742,2887366.57
1594857600,ADA_USDT,0.130547,0.126006,0.133209,0.118883,3996248.37
1594944000,ADA_USDT,0.126006,0.122204,0.126671,0.121711,4718872.76
1595030400,ADA_USDT,0.122204,0.122628,0.124624,0.118276,3558849.08
1595116800,ADA_USDT,0.122628,0.123907,0.124615,0.12114,2786079.86
1595203200,ADA_USDT,0.123907,0.117807,0.124145,0.116535,3274238.18
1595289600,ADA_USDT,0.117807,0.123253,0.124471,0.116891,3509832.81
1595376000,ADA_USDT,0.123253,0.123803,0.124343,0.120498,3136040.25
1595462400,ADA_USDT,0.123803,0.124165,0.12597,0.123526,2650719.78
1595548800,ADA_USDT,0.124165,0.121941,0.124265,0.120658,3275492.12
1595635200,ADA_USDT,0.121941,0.143419,0.145453,0.121941,5133292.87
1595721600,ADA_USDT,0.143419,0.148203,0.15402,0.1411,6658770.71
1595808000,ADA_USDT,0.148203,0.138321,0.149494,0.13,7849029.31
1595894400,ADA_USDT,0.138321,0.148337,0.15008,0.134397,6233919.86
1595980800,ADA_USDT,0.148337,0.139803,0.149298,0.138488,4949537.91
1596067200,ADA_USDT,0.139803,0.140454,0.142485,0.137077,3433939.31
1596153600,ADA_USDT,0.140454,0.13883,0.141081,0.135986,2859882.58
1596240000,ADA_USDT,0.13883,0.143512,0.146068,0.138192,3657407.05
1596326400,ADA_USDT,0.143512,0.1337,0.147633,0.1251,6030685.05
1596412800,ADA_USDT,0.1337,0.137164,0.138564,0.131987,3286669.08
1596499200,ADA_USDT,0.137164,0.143066,0.147977,0.135912,3979639.23
1596585600,ADA_USDT,0.143066,0.142048,0.145044,0.1405,3396596.42
1596672000,ADA_USDT,0.142048,0.144292,0.145313,0.139812,3815809.19
1596758400,ADA_USDT,0.144292,0.138667,0.147422,0.13348,3914247.42
1596844800,ADA_USDT,0.138667,0.146744,0.147438,0.137051,3502803.27
1596931200,ADA_USDT,0.146744,0.145029,0.152095,0.141875,4146732.22
1597017600,ADA_USDT,0.145029,0.143639,0.146486,0.141711,3246319.39
1597104000,ADA_USDT,0.143639,0.136766,0.144145,0.131498,4571999.67
1597190400,ADA_USDT,0.136766,0.136582,0.137539,0.122819,4959281.69
1597276800,ADA_USDT,0.136582,0.139321,0.141688,0.131922,4966879.11
1597363200,ADA_USDT,0.139321,0.138318,0.141047,0.137244,2262061.75
1597449600,ADA_USDT,0.138318,0.138334,0.141614,0.136034,1423041.83
1597536000,ADA_USDT,0.138334,0.138721,0.139552,0.135107,1164494.93
1597622400,ADA_USDT,0.138721,0.140494,0.144772,0.137369,1705094.44
1597708800,ADA_USDT,0.140494,0.136925,0.143923,0.133993,1467346.4
1597795200,ADA_USDT,0.136925,0.129647,0.137453,0.126177,2538313.59
1597881600,ADA_USDT,0.129647,0.133985,0.134454,0.126092,1606622.03
1597968000,ADA_USDT,0.133985,0.122925,0.134234,0.121475,2129362.91
1598054400,ADA_USDT,0.122925,0.125098,0.126146,0.118202,1693342.26
1598140800,ADA_USDT,0.125098,0.121319,0.125801,0.119424,846340.73
1598227200,ADA_USDT,0.121319,0.123632,0.126989,0.120011,2722629.37
1598313600,ADA_USDT,0.123632,0.112348,0.123944,0.105431,6219623.38
1598400000,ADA_USDT,0.112348,0.11425,0.118104,0.110219,4894074.84
1598486400,ADA_USDT,0.11425,0.107155,0.115641,0.102148,4469366.82
1598572800,ADA_USDT,0.107155,0.109263,0.111364,0.106028,4096310.16
1598659200,ADA_USDT,0.109263,0.116279,0.117812,0.10807,4190009.37
1598745600,ADA_USDT,0.116279,0.117402,0.118688,0.113697,4997704.9
1598832000,ADA_USDT,0.117402,0.122451,0.126544,0.112911,5899670.75
1598918400,ADA_USDT,0.122451,0.124413,0.127967,0.118944,6454277.54
1599004800,ADA_USDT,0.124413,0.114896,0.1264,0.110939,5187314.21
1599091200,ADA_USDT,0.114896,0.094899,0.116758,0.092529,5765496.41
1599177600,ADA_USDT,0.094899,0.101589,0.103924,0.092761,6745932.51
1599264000,ADA_USDT,0.101589,0.089914,0.103853,0.086337,5999517.64
1599350400,ADA_USDT,0.089914,0.092571,0.095576,0.085567,5534684.1
1599436800,ADA_USDT,0.092571,0.093585,0.094131,0.086116,5264848.35
